Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2024-03-01,745.3602905273438,747.2897322153239,735.225759203344,736.4092836516859,1672800
2024-03-04,755.0473022460938,760.5770332685286,749.5672869018781,750.9696453856619,2133400
2024-03-05,755.8131103515625,765.08238281826,752.7797256245286,764.2369734989869,2353400
2024-03-06,769.03076171875,770.940292962002,759.5028946491121,760.6765245902075,2400600
2024-03-07,781.3134765625,782.7953556728083,772.7801668815399,774.8687107398583,4187900
2024-03-08,721.6102294921875,752.1032973728527,721.1527117646709,751.934239807358,8568900
2024-03-11,710.1927490234375,716.0805050682992,707.1394540299792,715.8915369513459,3762500
2024-03-12,732.8685913085938,736.0213175251342,713.007272055197,713.1763903184636,3727400
2024-03-13,730.2032470703125,732.4907144180715,722.624732926048,730.9988799691549,2270300
2024-03-14,727.9655151367188,736.6479724399227,725.0216065579848,734.3107893544036,1826100
2024-03-15,721.679931640625,728.5324394848814,719.2830168350839,728.5324394848814,3389900
2024-03-18,727.5577392578125,729.3479892718663,722.0678294171438,722.1473502200195,1595200
2024-03-19,728.1842651367188,731.3469468688352,726.0460055253141,727.8063288885824,1322700
2024-03-20,736.6876831054688,738.0502810271049,725.1608100560858,727.0206254043769,1398700
2024-03-21,738.5177001953125,748.2146238116916,737.0656261904835,739.4525855156742,2106900
2024-03-22,730.7999267578125,740.7355340698385,730.3822301259663,740.377508385399,1791200
2024-03-25,726.98095703125,730.1634889009204,722.7838975210477,727.0207174336043,1604700
2024-03-26,727.000732421875,730.7005133606482,726.244859934228,727.0206429724651,1353500
2024-03-27,728.0947875976562,731.8840446439,723.7883418543939,730.0043186824117,1246700
2024-03-28,728.6417846679688,730.8994468869024,724.355249456364,729.8551142128184,1713300
2024-04-01,717.3137817382812,729.2783232587251,716.2794650311943,727.7765335214558,1600700
2024-04-02,707.4278564453125,716.0805080582626,704.5436797095937,716.0805080582626,2326700
2024-04-03,701.8484497070312,706.940573193369,693.4743025154767,706.1150744535231,3205500
2024-04-04,701.0427856445312,713.2260992080551,700.3863445527944,704.9116238672754,2252400
2024-04-05,709.834716796875,712.9875040783318,702.1766815956838,702.1965314443695,1552300
2024-04-08,707.9351196289062,712.2415654178211,707.0002342759457,709.6258774846306,1459000
2024-04-09,714.67822265625,715.1356796943643,703.1313781322226,712.3409789807569,1388300
2024-04-10,718.6465454101562,720.0388878804112,705.0907374839887,707.1295658638314,1832000
2024-04-11,728.3632202148438,729.7953835934262,720.2079078092239,727.5178717127399,2107800
2024-04-12,727.3290405273438,728.9104119171259,722.5849870609028,724.0370612620843,1480600
2024-04-15,714.3699951171875,736.9662872292514,714.0417745106769,731.4266008357707,1808000
2024-04-16,712.0723876953125,718.5668689492954,708.253325804137,714.3897206847206,1412300
2024-04-17,711.2966918945312,719.859806698878,707.1294987494531,719.064173833832,1376700
2024-04-18,707.3781127929688,715.036207841816,705.707265624603,711.2966667351855,1846400
2024-04-19,705.647705078125,710.9785126925684,698.1785769709991,709.1485629516837,2188900
2024-04-22,711.5652465820312,714.3499919809944,702.3257800384804,710.9684764018197,1437100
2024-04-23,718.7459106445312,720.3272818071003,712.4006368499225,715.1158167175113,1176200
2024-04-24,719.9493408203125,721.4809355974588,712.19181418461,715.7921029655757,1206600
2024-04-25,719.0826416015625,724.4917424748797,711.6612931870402,724.4917424748797,1613600
2024-04-26,726.3745727539062,728.1377823779935,712.2491356533524,712.2491356533524,1524400
2024-04-29,723.5355224609375,729.4327287267911,717.4489839720177,726.7232228858387,1526900
2024-04-30,720.1187133789062,722.7186569808288,714.3409798630863,722.7186569808288,1734800
2024-05-01,719.4413452148438,727.0519661324317,712.5679283382367,719.4912014881307,1609100
2024-05-02,729.6220092773438,731.5744902521,717.8574495597702,721.9615933880636,1826900
2024-05-03,741.0379638671875,744.6141177514847,730.5285050075094,731.4549804553131,2323300
2024-05-06,753.5396728515625,754.0277779146243,743.6079994651551,746.7060803680341,1773300
2024-05-07,768.3424682617188,769.2688828942748,752.6630358864418,755.7710271699623,1897800
2024-05-08,760.4728393554688,770.4144837750448,759.7755811668006,767.0375118257068,1511900
2024-05-09,776.042724609375,776.710190649109,760.672096792383,760.8613682244918,1716200
2024-05-10,784.161376953125,784.4203863602585,775.1660896839735,776.0427088464266,1652700
2024-05-13,772.167724609375,786.4425478203586,770.6037577062217,784.9682614047905,1596800
2024-05-14,774.9071044921875,777.8058817036643,768.4619657816437,771.9484997585073,1327700
2024-05-15,784.0119018554688,786.6218167416562,775.5247232486153,775.5247232486153,1661700
2024-05-16,790.0187377929688,801.4645212652765,784.7989079762095,788.7635758079576,2000000
2024-05-17,792.7482299804688,794.531321317891,787.5682240925717,790.556682012474,1309100
2024-05-20,789.9490356445312,799.8906194365114,789.3413971322689,792.1903790621859,1347100
2024-05-21,797.8485107421875,798.3565583065052,788.9528751404941,792.5091472903869,1375700
2024-05-22,798.7749633789062,803.2476791279807,794.9397999291194,796.9619582279948,1192800
2024-05-23,793.2761840820312,804.9410920547352,792.3696511725939,801.2055198242972,1519200
2024-05-24,806.6146240234375,813.7271681678907,796.0156065850126,797.5496596983864,1621900
2024-05-28,810.0413818359375,812.153220455541,801.623880318951,806.6245857598778,1986300
2024-05-29,803.4170532226562,810.3104125235948,803.1878967693611,803.9151295467192,2282800
2024-05-30,812.2030639648438,816.3470319079247,805.1901109530223,807.0828251579918,2288500
2024-05-31,806.7740478515625,808.6169058506714,785.1674954172055,805.9173712033459,4360700
2024-06-03,812.2528686523438,824.7246576381888,804.0246385947092,807.8797442240827,2008700
2024-06-04,824.2067260742188,824.8243358310107,809.9118995799174,811.8444380835236,1754500
2024-06-05,831.090087890625,831.1797683752454,818.5186471563776,827.7131160419576,2080000
2024-06-06,839.3980102539062,845.8232064451342,831.1100136339487,832.2057571330859,1735000
2024-06-07,842.3267211914062,847.1082414469643,839.0493402693204,843.4224647165219,1593600
2024-06-10,845.0761108398438,846.211678578667,839.4976198827964,843.9205397928836,1402300
2024-06-11,846.0424194335938,847.6661531453215,837.0272499545844,845.9726814508426,1690500
2024-06-12,844.5481567382812,852.4476397787797,840.3643035424697,849.0308435622941,1838300
2024-06-13,842.7052612304688,844.5481191893851,834.3275839569914,844.5481191893851,1322400
2024-06-14,852.3779296875,852.8859772722304,838.670859355766,840.1750596006476,1395500
2024-06-17,864.57080078125,867.2106295660891,850.0867634554697,851.2024495350173,1904900
2024-06-18,867.39990234375,870.597574173326,864.3616489831176,864.6604826119725,1763800
2024-06-20,859.1218872070312,870.4879621028641,857.2491153755901,867.9577562796894,1944600
2024-06-21,845.0462036132812,863.634384243821,844.3887696541414,863.3056976644157,3852900
2024-06-24,844.8968505859375,847.3573793807401,838.2724715852178,846.7297983132576,1722900
2024-06-25,852.218505859375,852.3978060282438,841.7489324858476,846.0523189396845,1675700
2024-06-26,853.5433959960938,856.4322019728405,846.7894523781168,849.4391914657897,1505300
2024-06-27,847.3472900390625,855.0276482038995,845.3749274163212,854.41003847758,1254900
2024-06-28,846.7197265625,853.9418328085812,843.5519686361205,847.9748885484922,2131700
2024-07-01,842.4163818359375,852.7066555798195,837.2662897369606,850.2162739922617,1989000
2024-07-02,856.0537109375,857.049863569144,839.8363777105083,842.4363214870194,1377900
2024-07-03,859.3410034179688,860.1977408903878,851.7105010032319,851.7105010032319,814400
2024-07-05,882.262451171875,883.5275844227447,855.4161265953546,861.2336844982265,2620700
2024-07-08,877.4510498046875,884.5336799311772,874.2832311520103,883.3781089106254,1611300
2024-07-09,883.4378662109375,893.2200915652899,879.5727894460707,880.4494085556483,1356800
2024-07-10,880.9077758789062,886.8448677523634,877.311679288593,883.9859144187532,1755800
2024-07-11,843.3328857421875,887.3329305917173,843.2631477617205,887.3329305917173,6021100
2024-07-12,839.6571044921875,846.729764083813,835.1544749964822,846.620201882894,3288400
2024-07-15,845.4645385742188,854.5993012800761,841.4201616328114,843.6017381603394,2064000
2024-07-16,847.4967651367188,847.9649276735545,838.1030534349467,844.5381603049059,1687600
